studyid,class,n,mean_change,sd_change,source,pooled_sd_study,z_mean_change,z_sd_change,treatment_id
Deushle 2003,SSRIs,40,-10.9,7.11898869222307,baseline_followup,6.807716210301364,-1.6011243217668556,1,trt_039
Deushle 2003,TCAs,40,-13.5,6.48151216923952,baseline_followup,6.807716210301364,-1.9830438847571148,1,trt_046
Diaz-Martinez 1998,SNRIs,55,-23.1,7.10225959986558,baseline_followup,7.136242587863614,-3.2369975817926164,1,trt_038
Diaz-Martinez 1998,SSRIs,55,-24,7.17006451308452,baseline_followup,7.136242587863614,-3.3631143706936273,1,trt_039
Dierick 1996,SNRIs,153,-16.3,8.60639297266863,baseline_followup,8.1531148680294,-1.999235907237953,1,trt_038
Dierick 1996,SSRIs,161,-14.2,7.69781787261819,baseline_followup,8.1531148680294,-1.7416656369803025,1,trt_039
Duan 2009,Acupuncture + AD,46,-13.7,4.64865571966778,baseline_followup,4.7515786850266934,-2.8832522637522175,1,trt_002
Duan 2009,SSRIs,44,-12.4,4.85695377783236,baseline_followup,4.7515786850266934,-2.6096589832501826,1,trt_039
Dube 2010,Placebo,122,-13,8.84,change_from_baseline,8.833912841541625,-1.4716015692239206,1,trt_031
Dube 2010,SSRIs,54,-15,8.82,change_from_baseline,8.833912841541625,-1.6980018106429853,1,trt_039
Dubey 2012,SNRIs,30,-20.27,7.04,change_from_baseline,7.440228491115041,-2.724378696730348,1,trt_038
Dubey 2012,TCAs,30,-25.530000000000005,7.82,change_from_baseline,7.440228491115041,-3.4313462322410357,1,trt_046
E-1569,Mirtazapine,72,-12.2,7.5,change_from_baseline,7.06434710358997,-1.7269819589980488,1,trt_026
E-1569,SSRIs,72,-15,6.6,change_from_baseline,7.06434710358997,-2.1233384741779293,1,trt_039
Eli Lilly HMAT-A,Placebo,89,-4.78,6.42,change_from_baseline,6.389266590075509,-0.7481296847786578,1,trt_031
Eli Lilly HMAT-A,SNRIs,81,-6.31,6.3,change_from_baseline,6.389266590075509,-0.9875937889023704,1,trt_038
Eli Lilly HMAT-A,SSRIs,87,-7.4,6.44,change_from_baseline,6.389266590075509,-1.1581923990297214,1,trt_039
Elkin 1989/Imber 1990,Cognitive and cognitive behavioural therapies individual,59,-8.9,6.84178339323893,baseline_followup,6.8244928110197005,-1.3041262180874336,1,trt_010
Elkin 1989/Imber 1990,Interpersonal psychotherapy (IPT) individual,61,-9.8,6.87240860252066,baseline_followup,6.8244928110197005,-1.4360041502535785,1,trt_020
