comparison,treat1,treat2,TE_direct,seTE_direct,lower_direct,upper_direct,statistic_direct,p_direct,n_direct,Q_direct,tau2_direct,tau_direct,I2_direct,TE_indirect,seTE_indirect,lower_indirect,upper_indirect,statistic_indirect,p_indirect,TE_network,seTE_network,lower_network,upper_network,statistic_network,p_network,TE_difference,seTE_difference,lower_diff,upper_diff,statistic_diff,p_inconsistency,z_score,inconsistent
Exercise group:Short-term psychodynamic psychotherapies individual,Exercise group,Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18948164573122517,0.48303124196039665,-1.136205483381255,0.7572421919188046,-0.39227617029947853,0.6948541688735153,-0.18948164573122517,0.48303124196039665,-1.136205483381255,0.7572421919188046,-0.39227617029947853,0.6948541688735153,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Short-term psychodynamic psychotherapies individual + AD,Exercise group,Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39724341804762897,0.6910165053810334,-1.7516108813171827,0.9571240452219247,-0.5748682049621737,0.5653804346625602,-0.39724341804762897,0.6910165053810334,-1.7516108813171827,0.9571240452219247,-0.5748682049621737,0.5653804346625602,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:SNRIs,Exercise group,SNRIs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1879270399395896,0.3697278499254235,-0.9125803098748496,0.5367262299956704,-0.5082847829220755,0.6112536401630781,-0.1879270399395896,0.3697278499254235,-0.9125803098748496,0.5367262299956704,-0.5082847829220755,0.6112536401630781,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:SSRIs,Exercise group,SSRIs,-0.15823231426606743,0.6076750124135628,-1.3492534529015807,1.0327888243694456,-0.26038970014185797,0.7945631871049896,NA,0,NA,NA,NA,-0.5000597012763391,0.45448470517674694,-1.3908333549470675,0.39071395239438933,-1.1002783934871214,0.27121084321055505,-0.37744157321382765,0.36395299015671717,-1.090776325986654,0.33589317955899867,-1.0370613332543368,0.2997072740895121,0.3418273870102717,0.758831514864412,-1.145455052457946,1.8291098264784895,0.4504654594786425,0.6523748543506198,0.4504654594786425,no
Exercise group:TAU,Exercise group,TAU,-1.615128996269228,0.6592025769698098,-2.9071423056460475,-0.3231156868924081,-2.4501254283525014,0.014280645901731153,NA,0,NA,NA,NA,0.050207505688899375,0.4973476463197513,-0.9245759688935777,1.0249909802713766,0.10095052436745687,0.919589735284756,-0.5538798052308787,0.39702490677384933,-1.3320343234729957,0.22427471301123836,-1.3950757138427488,0.16299300890349652,-1.6653365019581272,0.8257740119327045,-3.283823824715377,-0.04684917920087783,-2.0166976411142397,0.04372707625711439,-2.0166976411142397,YES
Exercise group:TCAs,Exercise group,TCAs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2719094755248159,0.36753070064086385,-0.9922564119936811,0.44843746094404924,-0.7398279247167296,0.4594044125708974,-0.2719094755248159,0.36753070064086385,-0.9922564119936811,0.44843746094404924,-0.7398279247167296,0.4594044125708974,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Trazodone,Exercise group,Trazodone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4990904231992359,0.40230138340013355,-1.2875866455941374,0.28940579919566567,-1.240588384213521,0.21475784517963342,-0.4990904231992359,0.40230138340013355,-1.2875866455941374,0.28940579919566567,-1.240588384213521,0.21475784517963342,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Waitlist,Exercise group,Waitlist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5729677541260543,0.4206856532771138,-2.397496483361902,-0.74843902489020675,-3.739057279164949,1.8471164032950478e-4,-1.5729677541260543,0.4206856532771138,-2.397496483361902,-0.74843902489020675,-3.739057279164949,1.8471164032950478e-4,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Yoga group,Exercise group,Yoga group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014796670610525808,0.6086377113450658,-1.20770466447974,1.1781113232586884,-0.024311130143128558,0.9806044351854483,-0.014796670610525808,0.6086377113450658,-1.20770466447974,1.1781113232586884,-0.024311130143128558,0.9806044351854483,NA,NA,NA,NA,NA,NA,NA,no data
Exercise group:Yoga group + AD,Exercise group,Yoga group + AD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9587438385830209,0.8168900522033923,-0.6423312430646722,2.559818920230714,1.1736510145973835,0.24053483859353855,0.9587438385830209,0.8168900522033923,-0.6423312430646722,2.559818920230714,1.1736510145973835,0.24053483859353855,NA,NA,NA,NA,NA,NA,NA,no data
