studyid,class,n,mean_change,sd_change,source
Lam 2016,Light therapy + AD,29,-16.9,9.2,change_from_baseline
Lam 2016,Placebo,30,-6.5,9.6,change_from_baseline
Lam 2016,SSRIs,31,-8.8,9.9,change_from_baseline
Lee 2007,SNRIs,238,-56.39,5.863369624885,baseline_followup
Lee 2007,SSRIs,240,-55.92,5.81842482553855,baseline_followup
Legrand 2016,Any AD,10,-6.409999999999999,10,change_from_baseline
Legrand 2016,Exercise individual + AD,25,-26.61,11.112178004333805,change_from_baseline
Leinonen 1999,Mirtazapine,136,-20.5,6.32477862117093,baseline_followup
Leinonen 1999,SSRIs,133,-20.2,6.08313408589087,baseline_followup
Levin 2013,Placebo,52,-11.650000000000002,5.79613322668195,baseline_followup
Levin 2013,SNRIs,51,-9.69,5.63294671249698,baseline_followup
Lindegaard 2019,Self-help with support,25,-11.37,5.13532861655415,baseline_followup
Lindegaard 2019,Waitlist,25,-2.48,5.63851930918038,baseline_followup
Loo 2002,Placebo,139,-12.06,7.79678780011358,baseline_followup
Loo 2002,SSRIs,147,-14.210000000000003,7.29101501850051,baseline_followup
Luo 1985,Acupuncture,27,-15.7,9.13290753265355,baseline_followup
Luo 1985,TCAs,20,-15.2,7.50266619276108,baseline_followup
M/2020/0046 (Study 046),Placebo,247,-11.5,8.45,change_from_baseline
M/2020/0046 (Study 046),SSRIs,243,-12.5,8.45,change_from_baseline
M/2020/0046 (Study 047),Placebo,239,-10.1,7.27,change_from_baseline
M/2020/0046 (Study 047),SSRIs,242,-11.8,7.64,change_from_baseline
MDF/29060/III/070/88/MC,SSRIs,24,-20,8.59,change_from_baseline
MDF/29060/III/070/88/MC,TCAs,20,-15,8.22,change_from_baseline
MIR 003-003 (FDA),Mirtazapine,45,-10.4,8.7,change_from_baseline
MIR 003-003 (FDA),Placebo,45,-8.8,8.1,change_from_baseline
MIR 003-020 (FDA),Mirtazapine,40,-10.6,8.7,change_from_baseline
MIR 003-020 (FDA),Placebo,39,-4.8,6.4,change_from_baseline
MIR 003-020 (FDA),TCAs,40,-11.5,9.1,change_from_baseline
