studyid,class,n,mean_change,sd_change,source
Kasper 2005a,SSRIs,338,-28.014646669325003,5.374011537017761,binary_response_converted
Kasper 2005b,SSRIs,53,-15,4.95,change_from_baseline
Kasper 2005b,Trazodone,55,-14.6,4.89,change_from_baseline
Kasper 2012,Placebo,71,-13.4,9.27,change_from_baseline
Kasper 2012,SSRIs,139,-19,10.61,change_from_baseline
Katona 2012,Placebo,145,-10.3,9.63,change_from_baseline
Katona 2012,SNRIs,147,-15.799999999999999,9.7,change_from_baseline
Katz 1990,Placebo,11,-2.5,5.09215082258961,baseline_followup
Katz 1990,TCAs,12,-8.6,5.8642987645583,baseline_followup
Katz 1993_Protocol 01,Placebo,104,-8,7.76,change_from_baseline
Katz 1993_Protocol 01,TCAs,93,-13.7,7.76,change_from_baseline
Katz 1993_Protocol 03,Placebo,94,-8.7,7.76,change_from_baseline
Katz 1993_Protocol 03,TCAs,95,-12.9,7.76,change_from_baseline
Kay-Lambkin 2009,Cognitive and cognitive behavioural therapies individual,23,-21.87,10.1293188319847,baseline_followup
Kay-Lambkin 2009,No treatment,21,-9.91,10.053273098847,baseline_followup
Kay-Lambkin 2009,Self-help,23,-11.48,11.1860225281375,baseline_followup
Kay-Lambkin 2011/2017,Cognitive and cognitive behavioural therapies individual,88,-11.9,10.4747315001388,baseline_followup
Kay-Lambkin 2011/2017,Counselling individual,89,-8.3,10.3711137299713,baseline_followup
Kay-Lambkin 2011/2017,Self-help,97,-12.9,11.3960519479335,baseline_followup
Keller 2006_Study 062,Placebo,154,-14,8.87,change_from_baseline
Keller 2006_Study 062,SSRIs,161,-17.25,8.05,change_from_baseline
Kennedy 2007,Cognitive and cognitive behavioural therapies individual,12,-11.5,6.59393660873381,baseline_followup
Kennedy 2007,SNRIs,12,-14.089999999999998,8.05791536316931,baseline_followup
Khan 1991,Placebo,26,-4,8.22860863086828,baseline_followup
Khan 1991,SNRIs,67,-27.2,13.620939761998804,baseline_followup
Khan 1995,Mirtazapine,26,-12,7.8,change_from_baseline
Khan 1995,Placebo,26,-6.299999999999999,8.1,change_from_baseline
Khan 2007,SNRIs,91,-19.3,9.1,change_from_baseline
Khan 2007,SSRIs,110,-19.2,8.6,change_from_baseline
Kheirabadi 2020,Cognitive and cognitive behavioural therapies individual,16,-24.2,17.3801611039714,baseline_followup
Kheirabadi 2020,SSRIs,12,-18,11.9531753103516,baseline_followup
Khoshnab 2017,Exercise individual,15,-2.13,6.19677335393187,change_from_baseline
Khoshnab 2017,Exercise individual + AD,15,-4.53,12.548466041712,change_from_baseline
Khoshnab 2017,No treatment,15,-1.56,3.09838667696593,change_from_baseline
Khoshnab 2017,SSRIs,15,-1.9199999999999997,6.19677335393187,change_from_baseline
Kim 2011,Mirtazapine,30,-14.0073233346625,2.9,binary_response_converted
Kim 2011,SSRIs,30,-14.0073233346625,2.9,binary_response_converted
Kinoshita 2009,Mirtazapine,200,-39,12.313001258832063,change_from_baseline
Kinoshita 2009,Placebo,70,-10.4,7.5,change_from_baseline
Komulainen 2018,Placebo,15,-2.2,4.5670012042915,baseline_followup
Komulainen 2018,SSRIs,17,-1.9,4.27224765199772,baseline_followup
Kramer 2014,Problem solving individual,131,-10.3,9.79385521640993,baseline_followup
Kramer 2014,Waitlist,132,-4.49,8.68241901776227,baseline_followup
Kranzler 2006_Group A,Placebo,100,-9.6,7.8,change_from_baseline
Kranzler 2006_Group A,SSRIs,89,-10.8,6.5,change_from_baseline
Krejtz 2018,Attention placebo,25,-8.19,9.97183533758957,baseline_followup
Krejtz 2018,Self-help,26,-12.97,9.22388746678969,baseline_followup
Lam 2013,Cognitive and cognitive behavioural therapies individual + AD,48,-15.699999999999998,8.8,change_from_baseline
Lam 2013,SSRIs,51,-14.3,8.3,change_from_baseline
Lam 2016,Light therapy,32,-13.4,7.5,change_from_baseline
