treat;TE_base;lower_base;upper_base;TE_drop;lower_drop;upper_drop;removed_study;component_id;component_reference;delta_TE;abs_delta_TE;pct_shift_vs_base;estimable;ci_overlap
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7581;-1,4587;-0,0576;WELL AK1A4006;1;Placebo;-0,0025;0,0025;0,0033;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4528;-2,3700;-0,5357;WELL AK1A4006;1;Placebo;-0,0026;0,0026;0,0018;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5578;-1,2020;0,0863;WELL AK1A4006;1;Placebo;-0,0018;0,0018;0,0032;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8127;-1,5643;-0,0611;WELL AK1A4006;1;Placebo;-0,0019;0,0019;0,0023;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5166;-1,3670;0,3337;WELL AK1A4006;1;Placebo;-0,0018;0,0018;0,0035;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8718;-1,9157;0,1722;WELL AK1A4006;1;Placebo;-0,0017;0,0017;0,0020;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2080;-2,0313;-0,3848;WELL AK1A4006;1;Placebo;-0,0018;0,0018;0,0015;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2485;-6,0074;-2,4895;WELL AK1A4006;1;Placebo;-0,0026;0,0026;0,0006;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6975;-0,9540;-0,4411;WELL AK1A4006;1;Placebo;-0,0021;0,0021;0,0031;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7796;-2,2508;0,6917;WELL AK1A4006;1;Placebo;-0,0026;0,0026;0,0033;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1174;-0,5858;0,3510;WELL AK1A4006;1;Placebo;-0,0026;0,0026;0,0225;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3589;-2,6761;-0,0417;WELL AK1A4006;1;Placebo;-0,0018;0,0018;0,0013;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4798;-2,7954;-0,1643;WELL AK1A4006;1;Placebo;-0,0018;0,0018;0,0012;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;WELL AK1A4006;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9977;-4,2029;-1,7924;WELL AK1A4006;1;Placebo;-0,0023;0,0023;0,0008;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9786;-1,6316;-0,3256;WELL AK1A4006;1;Placebo;-0,0021;0,0021;0,0021;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3529;-2,6644;-0,0415;WELL AK1A4006;1;Placebo;-0,0026;0,0026;0,0019;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4602;-1,6598;0,7395;WELL AK1A4006;1;Placebo;-0,0018;0,0018;0,0039;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7894;-2,0098;0,4311;WELL AK1A4006;1;Placebo;-0,0011;0,0011;0,0014;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1569;-1,3609;1,0470;WELL AK1A4006;1;Placebo;-0,0011;0,0011;0,0070;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6520;-1,2157;-0,0883;WELL AK1A4006;1;Placebo;-0,0023;0,0023;0,0035;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6313;-1,1851;-0,0775;WELL AK1A4006;1;Placebo;-0,0023;0,0023;0,0037;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1536;-0,9213;0,6141;WELL AK1A4006;1;Placebo;-0,0030;0,0030;0,0198;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7123;-1,3827;-0,0419;WELL AK1A4006;1;Placebo;-0,0026;0,0026;0,0036;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5036;-1,6832;0,6761;WELL AK1A4006;1;Placebo;-0,0016;0,0016;0,0031;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7134;-0,8656;-0,5611;WELL AK1A4006;1;Placebo;-0,0020;0,0020;0,0029;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5252;-0,6367;-0,4137;WELL AK1A4006;1;Placebo;-0,0034;0,0034;0,0065;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3478;-0,8958;0,2001;WELL AK1A4006;1;Placebo;-0,0024;0,0024;0,0071;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6295;-0,7843;-0,4746;WELL AK1A4006;1;Placebo;-0,0021;0,0021;0,0034;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,4025;-0,7516;-0,0534;WELL AK1A4006;1;Placebo;-0,0023;0,0023;0,0058;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6717;0,1732;1,1702;WELL AK1A4006;1;Placebo;-0,0020;0,0020;0,0030;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8865;-1,8675;0,0945;WELL AK1A4006;1;Placebo;-0,0021;0,0021;0,0023;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8598;-3,3229;-0,3967;WELL AK1A4006;1;Placebo;-0,0018;0,0018;0,0009;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9083;-1,4329;-0,3837;Wernicke 1987;1;Placebo;0,0080;0,0080;0,0087;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7403;-2,2455;-1,2352;Wernicke 1987;1;Placebo;0,0085;0,0085;0,0048;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6609;-1,1763;-0,1455;Wernicke 1987;1;Placebo;0,0051;0,0051;0,0077;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1553;-0,9118;1,2224;Wernicke 1987;1;Placebo;0,0067;0,0067;0,0452;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5774;-0,4276;1,5824;Wernicke 1987;1;Placebo;0,0056;0,0056;0,0099;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3222;-0,3986;1,0430;Wernicke 1987;1;Placebo;0,0066;0,0066;0,0208;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7280;-1,8003;0,3443;Wernicke 1987;1;Placebo;0,0031;0,0031;0,0043;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9458;-1,5351;-0,3566;Wernicke 1987;1;Placebo;0,0070;0,0070;0,0073;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3252;-2,3447;-0,3057;Wernicke 1987;1;Placebo;0,0052;0,0052;0,0039;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8479;-1,1702;-0,5255;Wernicke 1987;1;Placebo;0,0062;0,0062;0,0072;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3299;-1,8687;-0,7911;Wernicke 1987;1;Placebo;0,0073;0,0073;0,0055;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3033;-2,1838;-0,4228;Wernicke 1987;1;Placebo;0,0068;0,0068;0,0052;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6717;-1,2799;-0,0635;Wernicke 1987;1;Placebo;0,0058;0,0058;0,0085;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1899;-1,5106;1,1309;Wernicke 1987;1;Placebo;0,0038;0,0038;0,0198;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1539;-1,6649;1,9728;Wernicke 1987;1;Placebo;0,0038;0,0038;0,0255;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8934;-1,6079;-0,1790;Wernicke 1987;1;Placebo;0,0058;0,0058;0,0065;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4381;-4,6815;-2,1947;Wernicke 1987;1;Placebo;0,0086;0,0086;0,0025;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7494;-1,4474;-0,0515;Wernicke 1987;1;Placebo;0,0062;0,0062;0,0082;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4437;-2,3579;-0,5296;Wernicke 1987;1;Placebo;0,0065;0,0065;0,0045;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5513;-1,1928;0,0902;Wernicke 1987;1;Placebo;0,0048;0,0048;0,0086;TRUE;TRUE
