treat;TE_base;lower_base;upper_base;TE_drop;lower_drop;upper_drop;removed_study;component_id;component_reference;delta_TE;abs_delta_TE;pct_shift_vs_base;estimable;ci_overlap
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8058;-1,5545;-0,0571;Wernicke 1987;1;Placebo;0,0050;0,0050;0,0062;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5099;-1,3570;0,3372;Wernicke 1987;1;Placebo;0,0049;0,0049;0,0096;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8656;-1,9054;0,1742;Wernicke 1987;1;Placebo;0,0044;0,0044;0,0051;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2016;-2,0217;-0,3816;Wernicke 1987;1;Placebo;0,0046;0,0046;0,0038;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2393;-5,9944;-2,4842;Wernicke 1987;1;Placebo;0,0065;0,0065;0,0015;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6900;-0,9453;-0,4346;Wernicke 1987;1;Placebo;0,0054;0,0054;0,0078;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7705;-2,2371;0,6961;Wernicke 1987;1;Placebo;0,0065;0,0065;0,0084;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1083;-0,5748;0,3583;Wernicke 1987;1;Placebo;0,0065;0,0065;0,0569;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3520;-2,6638;-0,0402;Wernicke 1987;1;Placebo;0,0051;0,0051;0,0038;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4729;-2,7832;-0,1627;Wernicke 1987;1;Placebo;0,0051;0,0051;0,0035;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Wernicke 1987;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9892;-4,1912;-1,7873;Wernicke 1987;1;Placebo;0,0061;0,0061;0,0020;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9714;-1,6217;-0,3210;Wernicke 1987;1;Placebo;0,0052;0,0052;0,0053;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3438;-2,6500;-0,0376;Wernicke 1987;1;Placebo;0,0065;0,0065;0,0048;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4533;-1,6483;0,7417;Wernicke 1987;1;Placebo;0,0051;0,0051;0,0111;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7855;-2,0023;0,4314;Wernicke 1987;1;Placebo;0,0028;0,0028;0,0035;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1531;-1,3533;1,0472;Wernicke 1987;1;Placebo;0,0028;0,0028;0,0178;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6438;-1,2053;-0,0822;Wernicke 1987;1;Placebo;0,0060;0,0060;0,0092;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6228;-1,1745;-0,0712;Wernicke 1987;1;Placebo;0,0061;0,0061;0,0097;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1432;-0,9080;0,6216;Wernicke 1987;1;Placebo;0,0075;0,0075;0,0496;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7031;-1,3707;-0,0354;Wernicke 1987;1;Placebo;0,0067;0,0067;0,0094;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,4975;-1,6729;0,6779;Wernicke 1987;1;Placebo;0,0045;0,0045;0,0090;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7064;-0,8580;-0,5548;Wernicke 1987;1;Placebo;0,0049;0,0049;0,0069;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5132;-0,6242;-0,4022;Wernicke 1987;1;Placebo;0,0086;0,0086;0,0165;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3392;-0,8849;0,2066;Wernicke 1987;1;Placebo;0,0062;0,0062;0,0180;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6220;-0,7762;-0,4678;Wernicke 1987;1;Placebo;0,0053;0,0053;0,0085;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,3943;-0,7419;-0,0466;Wernicke 1987;1;Placebo;0,0059;0,0059;0,0148;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6794;0,1828;1,1760;Wernicke 1987;1;Placebo;0,0057;0,0057;0,0084;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8790;-1,8567;0,0987;Wernicke 1987;1;Placebo;0,0055;0,0055;0,0062;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8528;-3,3111;-0,3946;Wernicke 1987;1;Placebo;0,0051;0,0051;0,0028;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9097;-1,4348;-0,3847;Wernicke 1988;1;Placebo;0,0066;0,0066;0,0072;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7417;-2,2474;-1,2361;Wernicke 1988;1;Placebo;0,0071;0,0071;0,0041;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6616;-1,1774;-0,1457;Wernicke 1988;1;Placebo;0,0045;0,0045;0,0067;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1542;-0,9138;1,2223;Wernicke 1988;1;Placebo;0,0057;0,0057;0,0381;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5765;-0,4294;1,5824;Wernicke 1988;1;Placebo;0,0047;0,0047;0,0082;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3212;-0,4002;1,0427;Wernicke 1988;1;Placebo;0,0056;0,0056;0,0177;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7285;-1,8015;0,3446;Wernicke 1988;1;Placebo;0,0026;0,0026;0,0036;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9471;-1,5368;-0,3573;Wernicke 1988;1;Placebo;0,0057;0,0057;0,0060;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3259;-2,3463;-0,3055;Wernicke 1988;1;Placebo;0,0045;0,0045;0,0034;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8489;-1,1715;-0,5263;Wernicke 1988;1;Placebo;0,0051;0,0051;0,0060;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3313;-1,8705;-0,7920;Wernicke 1988;1;Placebo;0,0059;0,0059;0,0044;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3046;-2,1858;-0,4233;Wernicke 1988;1;Placebo;0,0055;0,0055;0,0042;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6726;-1,2814;-0,0639;Wernicke 1988;1;Placebo;0,0048;0,0048;0,0072;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1904;-1,5122;1,1314;Wernicke 1988;1;Placebo;0,0033;0,0033;0,0170;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1534;-1,6670;1,9737;Wernicke 1988;1;Placebo;0,0033;0,0033;0,0219;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,8944;-1,6096;-0,1793;Wernicke 1988;1;Placebo;0,0048;0,0048;0,0054;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4395;-4,6840;-2,1950;Wernicke 1988;1;Placebo;0,0072;0,0072;0,0021;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7505;-1,4491;-0,0519;Wernicke 1988;1;Placebo;0,0051;0,0051;0,0068;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4448;-2,3596;-0,5300;Wernicke 1988;1;Placebo;0,0055;0,0055;0,0038;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5520;-1,1942;0,0901;Wernicke 1988;1;Placebo;0,0040;0,0040;0,0073;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8065;-1,5559;-0,0571;Wernicke 1988;1;Placebo;0,0043;0,0043;0,0053;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5106;-1,3585;0,3372;Wernicke 1988;1;Placebo;0,0042;0,0042;0,0082;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8663;-1,9071;0,1744;Wernicke 1988;1;Placebo;0,0037;0,0037;0,0042;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2024;-2,0232;-0,3816;Wernicke 1988;1;Placebo;0,0038;0,0038;0,0031;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2404;-5,9964;-2,4844;Wernicke 1988;1;Placebo;0,0054;0,0054;0,0013;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6909;-0,9465;-0,4353;Wernicke 1988;1;Placebo;0,0045;0,0045;0,0065;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7716;-2,2392;0,6961;Wernicke 1988;1;Placebo;0,0054;0,0054;0,0070;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1094;-0,5764;0,3577;Wernicke 1988;1;Placebo;0,0054;0,0054;0,0474;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3527;-2,6657;-0,0396;Wernicke 1988;1;Placebo;0,0045;0,0045;0,0033;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4736;-2,7851;-0,1621;Wernicke 1988;1;Placebo;0,0045;0,0045;0,0030;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Wernicke 1988;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9902;-4,1929;-1,7875;Wernicke 1988;1;Placebo;0,0051;0,0051;0,0017;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9722;-1,6232;-0,3212;Wernicke 1988;1;Placebo;0,0043;0,0043;0,0044;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3449;-2,6523;-0,0375;Wernicke 1988;1;Placebo;0,0054;0,0054;0,0040;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4540;-1,6501;0,7420;Wernicke 1988;1;Placebo;0,0044;0,0044;0,0095;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7859;-2,0036;0,4318;Wernicke 1988;1;Placebo;0,0023;0,0023;0,0029;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1535;-1,3547;1,0476;Wernicke 1988;1;Placebo;0,0023;0,0023;0,0149;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6447;-1,2067;-0,0827;Wernicke 1988;1;Placebo;0,0050;0,0050;0,0077;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6238;-1,1760;-0,0717;Wernicke 1988;1;Placebo;0,0052;0,0052;0,0082;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1445;-0,9099;0,6210;Wernicke 1988;1;Placebo;0,0062;0,0062;0,0411;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7041;-1,3724;-0,0358;Wernicke 1988;1;Placebo;0,0056;0,0056;0,0079;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,4981;-1,6745;0,6783;Wernicke 1988;1;Placebo;0,0039;0,0039;0,0077;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7073;-0,8590;-0,5556;Wernicke 1988;1;Placebo;0,0040;0,0040;0,0057;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5146;-0,6257;-0,4035;Wernicke 1988;1;Placebo;0,0072;0,0072;0,0138;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3402;-0,8865;0,2061;Wernicke 1988;1;Placebo;0,0052;0,0052;0,0150;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6229;-0,7773;-0,4686;Wernicke 1988;1;Placebo;0,0044;0,0044;0,0070;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,3952;-0,7432;-0,0472;Wernicke 1988;1;Placebo;0,0049;0,0049;0,0123;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6786;0,1815;1,1756;Wernicke 1988;1;Placebo;0,0049;0,0049;0,0072;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8798;-1,8583;0,0987;Wernicke 1988;1;Placebo;0,0046;0,0046;0,0052;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8535;-3,3129;-0,3941;Wernicke 1988;1;Placebo;0,0045;0,0045;0,0024;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9173;-1,4432;-0,3915;Wheatley 1998;1;Placebo;-0,0010;0,0010;0,0011;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7503;-2,2568;-1,2438;Wheatley 1998;1;Placebo;-0,0015;0,0015;0,0009;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6662;-1,1829;-0,1495;Wheatley 1998;1;Placebo;-0,0002;0,0002;0,0003;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1479;-0,9219;1,2176;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0048;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5714;-0,4362;1,5790;Wheatley 1998;1;Placebo;-0,0003;0,0003;0,0006;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3149;-0,4077;1,0375;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0023;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7309;-1,8055;0,3437;Wheatley 1998;1;Placebo;0,0002;0,0002;0,0003;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9535;-1,5442;-0,3629;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0008;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3306;-2,3527;-0,3084;Wheatley 1998;1;Placebo;-0,0002;0,0002;0,0001;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8544;-1,1775;-0,5313;Wheatley 1998;1;Placebo;-0,0004;0,0004;0,0005;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3378;-1,8779;-0,7977;Wheatley 1998;1;Placebo;-0,0006;0,0006;0,0005;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3105;-2,1931;-0,4278;Wheatley 1998;1;Placebo;-0,0004;0,0004;0,0003;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6779;-1,2877;-0,0680;Wheatley 1998;1;Placebo;-0,0004;0,0004;0,0006;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,1936;-1,5174;1,1302;Wheatley 1998;1;Placebo;0,0001;0,0001;0,0004;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1502;-1,6731;1,9734;Wheatley 1998;1;Placebo;0,0001;0,0001;0,0005;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,9000;-1,6163;-0,1836;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0008;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4482;-4,6949;-2,2016;Wheatley 1998;1;Placebo;-0,0015;0,0015;0,0004;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7565;-1,4562;-0,0568;Wheatley 1998;1;Placebo;-0,0009;0,0009;0,0011;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4510;-2,3672;-0,5349;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0005;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5561;-1,1994;0,0872;Wheatley 1998;1;Placebo;0,0000;0,0000;0,0001;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8109;-1,5615;-0,0602;Wheatley 1998;1;Placebo;0,0000;0,0000;0,0000;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5147;-1,3639;0,3346;Wheatley 1998;1;Placebo;0,0002;0,0002;0,0004;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8707;-1,9132;0,1719;Wheatley 1998;1;Placebo;-0,0006;0,0006;0,0007;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2066;-2,0288;-0,3844;Wheatley 1998;1;Placebo;-0,0004;0,0004;0,0003;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2466;-6,0043;-2,4888;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0002;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,6762;-0,9370;-0,4153;Wheatley 1998;1;Placebo;0,0192;0,0192;0,0276;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7777;-2,2474;0,6920;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0009;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1155;-0,5832;0,3523;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0060;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3573;-2,6727;-0,0419;Wheatley 1998;1;Placebo;-0,0002;0,0002;0,0001;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4782;-2,7921;-0,1644;Wheatley 1998;1;Placebo;-0,0002;0,0002;0,0001;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Wheatley 1998;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
Problem solving group;-2,9953;-4,1991;-1,7915;-2,9958;-4,1999;-1,7916;Wheatley 1998;1;Placebo;-0,0004;0,0004;0,0001;TRUE;TRUE
Problem solving individual;-0,9765;-1,6284;-0,3247;-0,9768;-1,6289;-0,3246;Wheatley 1998;1;Placebo;-0,0002;0,0002;0,0002;TRUE;TRUE
Psychoeducation group;-1,3504;-2,6595;-0,0412;-1,3510;-2,6608;-0,0413;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0005;TRUE;TRUE
Psychoeducation group + AD;-0,4584;-1,6559;0,7392;-0,4585;-1,6566;0,7396;Wheatley 1998;1;Placebo;-0,0001;0,0001;0,0002;TRUE;TRUE
Relaxation individual + AD;-0,7883;-2,0071;0,4306;-0,7880;-2,0073;0,4313;Wheatley 1998;1;Placebo;0,0003;0,0003;0,0003;TRUE;TRUE
Relaxation individual + placebo;-0,1558;-1,3582;1,0465;-0,1556;-1,3583;1,0472;Wheatley 1998;1;Placebo;0,0003;0,0003;0,0017;TRUE;TRUE
Self-help;-0,6497;-1,2124;-0,0870;-0,6501;-1,2131;-0,0872;Wheatley 1998;1;Placebo;-0,0004;0,0004;0,0006;TRUE;TRUE
Self-help with support;-0,6290;-1,1818;-0,0762;-0,6294;-1,1825;-0,0764;Wheatley 1998;1;Placebo;-0,0005;0,0005;0,0007;TRUE;TRUE
Sham acupuncture;-0,1507;-0,9170;0,6157;-0,1516;-0,9183;0,6152;Wheatley 1998;1;Placebo;-0,0009;0,0009;0,0060;TRUE;TRUE
Short-term psychodynamic psychotherapies individual;-0,7098;-1,3789;-0,0406;-0,7105;-1,3799;-0,0410;Wheatley 1998;1;Placebo;-0,0007;0,0007;0,0010;TRUE;TRUE
Short-term psychodynamic psychotherapies individual + AD;-0,5020;-1,6798;0,6758;-0,5021;-1,6803;0,6762;Wheatley 1998;1;Placebo;0,0000;0,0000;0,0001;TRUE;TRUE
SNRIs;-0,7113;-0,8632;-0,5595;-0,7112;-0,8631;-0,5593;Wheatley 1998;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
SSRIs;-0,5218;-0,6325;-0,4111;-0,5234;-0,6342;-0,4125;Wheatley 1998;1;Placebo;-0,0015;0,0015;0,0030;TRUE;TRUE
TAU;-0,3454;-0,8923;0,2016;-0,3458;-0,8930;0,2014;Wheatley 1998;1;Placebo;-0,0004;0,0004;0,0013;TRUE;TRUE
TCAs;-0,6273;-0,7817;-0,4729;-0,6267;-0,7812;-0,4722;Wheatley 1998;1;Placebo;0,0006;0,0006;0,0010;TRUE;TRUE
Trazodone;-0,4002;-0,7486;-0,0517;-0,3992;-0,7478;-0,0506;Wheatley 1998;1;Placebo;0,0010;0,0010;0,0025;TRUE;TRUE
Waitlist;0,6737;0,1761;1,1713;0,6734;0,1756;1,1712;Wheatley 1998;1;Placebo;-0,0003;0,0003;0,0005;TRUE;TRUE
Yoga group;-0,8845;-1,8640;0,0951;-0,8843;-1,8642;0,0956;Wheatley 1998;1;Placebo;0,0001;0,0001;0,0002;TRUE;TRUE
Yoga group + AD;-1,8580;-3,3190;-0,3970;-1,8582;-3,3197;-0,3966;Wheatley 1998;1;Placebo;-0,0002;0,0002;0,0001;TRUE;TRUE
Acupuncture;-0,9163;-1,4419;-0,3906;-0,9256;-1,4501;-0,4011;White 1984;1;Placebo;-0,0093;0,0093;0,0102;TRUE;TRUE
Acupuncture + AD;-1,7488;-2,2550;-1,2426;-1,7555;-2,2604;-1,2505;White 1984;1;Placebo;-0,0066;0,0066;0,0038;TRUE;TRUE
Any AD;-0,6661;-1,1825;-0,1496;-0,6779;-1,1933;-0,1626;White 1984;1;Placebo;-0,0119;0,0119;0,0178;TRUE;TRUE
Any psychotherapy;0,1486;-0,9207;1,2178;0,1384;-0,9285;1,2054;White 1984;1;Placebo;-0,0101;0,0101;0,0682;TRUE;TRUE
Attention placebo;0,5718;-0,4354;1,5789;0,5608;-0,4440;1,5656;White 1984;1;Placebo;-0,0110;0,0110;0,0192;TRUE;TRUE
Behavioural therapies individual;0,3156;-0,4066;1,0379;0,3054;-0,4152;1,0261;White 1984;1;Placebo;-0,0102;0,0102;0,0324;TRUE;TRUE
Behavioural therapies individual + AD;-0,7311;-1,8053;0,3431;-0,7415;-1,8137;0,3306;White 1984;1;Placebo;-0,0104;0,0104;0,0143;TRUE;TRUE
Cognitive and cognitive behavioural therapies group;-0,9528;-1,5432;-0,3624;-0,9626;-1,5517;-0,3734;White 1984;1;Placebo;-0,0098;0,0098;0,0102;TRUE;TRUE
Cognitive and cognitive behavioural therapies group + AD;-1,3304;-2,3521;-0,3087;-1,3422;-2,3616;-0,3229;White 1984;1;Placebo;-0,0118;0,0118;0,0089;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual;-0,8540;-1,1770;-0,5311;-0,8656;-1,1880;-0,5432;White 1984;1;Placebo;-0,0116;0,0116;0,0135;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + AD;-1,3372;-1,8771;-0,7973;-1,3487;-1,8875;-0,8100;White 1984;1;Placebo;-0,0115;0,0115;0,0086;TRUE;TRUE
Cognitive and cognitive behavioural therapies individual + placebo;-1,3101;-2,1924;-0,4278;-1,3232;-2,2036;-0,4428;White 1984;1;Placebo;-0,0131;0,0131;0,0100;TRUE;TRUE
Counselling individual;-0,6775;-1,2871;-0,0679;-0,6885;-1,2966;-0,0804;White 1984;1;Placebo;-0,0110;0,0110;0,0163;TRUE;TRUE
Counselling individual + AD;-0,1937;-1,5170;1,1296;-0,2047;-1,5253;1,1159;White 1984;1;Placebo;-0,0110;0,0110;0,0568;TRUE;TRUE
Counselling individual + placebo;0,1501;-1,6724;1,9726;0,1391;-1,6794;1,9576;White 1984;1;Placebo;-0,0110;0,0110;0,0733;TRUE;TRUE
Exercise group;-0,8993;-1,6153;-0,1832;-0,9067;-1,6211;-0,1924;White 1984;1;Placebo;-0,0075;0,0075;0,0083;TRUE;TRUE
Exercise group + AD;-3,4467;-4,6928;-2,2006;-3,4532;-4,6963;-2,2100;White 1984;1;Placebo;-0,0065;0,0065;0,0019;TRUE;TRUE
Exercise individual;-0,7556;-1,4550;-0,0562;-0,7623;-1,4602;-0,0645;White 1984;1;Placebo;-0,0067;0,0067;0,0089;TRUE;TRUE
Exercise individual + AD;-1,4503;-2,3661;-0,5345;-1,4593;-2,3733;-0,5453;White 1984;1;Placebo;-0,0090;0,0090;0,0062;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual;-0,5561;-1,1991;0,0869;-0,5677;-1,2092;0,0737;White 1984;1;Placebo;-0,0117;0,0117;0,0210;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + AD;-0,8108;-1,5611;-0,0605;-0,8214;-1,5700;-0,0728;White 1984;1;Placebo;-0,0106;0,0106;0,0130;TRUE;TRUE
Interpersonal psychotherapy (IPT) individual + placebo;-0,5149;-1,3638;0,3340;-0,5297;-1,3767;0,3173;White 1984;1;Placebo;-0,0149;0,0149;0,0289;TRUE;TRUE
Light therapy;-0,8700;-1,9121;0,1721;-0,8735;-1,9131;0,1661;White 1984;1;Placebo;-0,0035;0,0035;0,0040;TRUE;TRUE
Light therapy + AD;-1,2062;-2,0280;-0,3844;-1,2102;-2,0301;-0,3903;White 1984;1;Placebo;-0,0040;0,0040;0,0033;TRUE;TRUE
Mindfulness or meditation group;-4,2459;-6,0031;-2,4886;-4,2554;-6,0103;-2,5005;White 1984;1;Placebo;-0,0095;0,0095;0,0022;TRUE;TRUE
Mirtazapine;-0,6954;-0,9513;-0,4395;-0,7036;-0,9589;-0,4483;White 1984;1;Placebo;-0,0082;0,0082;0,0118;TRUE;TRUE
Music therapy group;-0,7770;-2,2462;0,6922;-0,7865;-2,2529;0,6798;White 1984;1;Placebo;-0,0095;0,0095;0,0123;TRUE;TRUE
No treatment;-0,1148;-0,5823;0,3527;-0,1243;-0,5908;0,3422;White 1984;1;Placebo;-0,0095;0,0095;0,0830;TRUE;TRUE
Peer support group;-1,3571;-2,6719;-0,0423;-1,3690;-2,6806;-0,0574;White 1984;1;Placebo;-0,0119;0,0119;0,0087;TRUE;TRUE
Peer support group + AD;-1,4781;-2,7913;-0,1649;-1,4899;-2,7999;-0,1800;White 1984;1;Placebo;-0,0119;0,0119;0,0080;TRUE;TRUE
Placebo;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;White 1984;1;Placebo;0,0000;0,0000;NA;TRUE;TRUE
