removed_study;component_id;component_reference;model_fit;reason;n_removed_studies;n_remaining_studies;frac_remaining_studies;n_estimable_treatments;max_abs_delta;median_abs_delta;p90_abs_delta
Levin 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0173;0,0050;0,0060
Fu 2003;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0172;0,0007;0,0020
Quilty 2014;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0163;0,0011;0,0130
Zhang 2019;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0153;0,0003;0,0008
Burke 2002;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0153;0,0090;0,0132
Sheehan 2009a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0144;0,0007;0,0014
Versiani 2005;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0142;0,0003;0,0009
Jefferson 2000;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0135;0,0083;0,0120
Tsutsui 2000;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0130;0,0003;0,0007
Hewett 2009;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0128;0,0036;0,0042
Mahableshwarkar 2015a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0127;0,0036;0,0042
Higuchi 2016;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0126;0,0033;0,0043
Mohr 2011;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0124;0,0007;0,0040
Hoyberg 1996;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0120;0,0012;0,0015
Robinson 2014;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0120;0,0034;0,0039
Nemeroff 2007;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0119;0,0044;0,0051
Goldstein 2004;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0118;0,0044;0,0050
VEN 600A-303 (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0117;0,0033;0,0038
Versiani 1989;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0116;0,0057;0,0065
Brannan 2005;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0114;0,0032;0,0036
Rickels 1994;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0113;0,0056;0,0064
Bakish 1992b;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0109;0,0054;0,0061
Tylee 1997;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0106;0,0014;0,0031
Fabre 1995a;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0104;0,0068;0,0093
Hashemi 2012;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0104;0,0028;0,0046
Higuchi 2011;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0100;0,0064;0,0089
Study F1J-MC-HMAQ - Study Group B;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0095;0,0036;0,0042
Dubey 2012;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0094;0,0028;0,0044
Forest Research Institute 2005;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0093;0,0061;0,0083
Baldwin 2012;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0092;0,0025;0,0031
Eli Lilly HMAT-A;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0092;0,0015;0,0023
VEN 600A-313 (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0091;0,0026;0,0029
Farabaugh 2015;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0089;0,0041;0,0056
Nierenberg 2007;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0088;0,0027;0,0043
Wernicke 1987;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0086;0,0057;0,0073
Golden 2002_449;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0086;0,0057;0,0075
Suleman 1997;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0085;0,0022;0,0038
Connolly Gibbons 2016;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0082;0,0002;0,0008
Benkert 2000;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0080;0,0004;0,0008
Schatzberg 2002;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0080;0,0003;0,0008
VEN XR 367 (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0078;0,0050;0,0058
MY-1045/BRL-029060/1 (PAR 128);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0078;0,0051;0,0069
003-008 (FDA);1;Placebo;TRUE;ok;1;310;0,9968;50;0,0077;0,0008;0,0011
Hong 2003;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0076;0,0002;0,0005
Higuchi 2009;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0076;0,0028;0,0037
Golden 2002_448;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0074;0,0050;0,0063
Mahableshwarkar 2013;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0073;0,0019;0,0025
Wernicke 1988;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0072;0,0048;0,0060
MDF/29060/III/070/88/MC;1;Placebo;TRUE;ok;1;310;0,9968;50;0,0071;0,0018;0,0031
