comparison,TE,seTE,lower,upper,statistic,p,z
Behavioural therapies individual:TAU,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:TCAs,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Trazodone,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Waitlist,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Yoga group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual:Yoga group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Cognitive and cognitive behavioural therapies individual + placebo,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Counselling individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Counselling individual + AD,-0.3988784570644476,1.3485476579758078,-3.041983298132869,2.2442263840039742,-0.29578373052322876,0.767395248523723,-0.29578373052322876
Behavioural therapies individual + AD:Counselling individual + placebo,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Exercise group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Exercise group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Exercise individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Exercise individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Interpersonal psychotherapy (IPT) individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Interpersonal psychotherapy (IPT) individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Interpersonal psychotherapy (IPT) individual + placebo,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Light therapy,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Light therapy + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Mindfulness or meditation group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Mirtazapine,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Music therapy group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:No treatment,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Peer support group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Peer support group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Placebo,0.8501791123909093,1.1206532340065654,-1.3462608654202959,3.0466190902021144,0.7586460169764954,0.4480643375123252,0.7586460169764954
Behavioural therapies individual + AD:Problem solving group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Problem solving individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Psychoeducation group,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Psychoeducation group + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Relaxation individual + AD,0.8242903978367335,2.7922891999544857,-4.648495868494218,6.297076664167686,0.29520237296701557,0.7678392893660473,0.29520237296701557
Behavioural therapies individual + AD:Relaxation individual + placebo,0.8159404345074617,2.733699002110041,-4.542011154201303,6.173892023216226,0.29847486276933466,0.7653407588623037,0.29847486276933466
Behavioural therapies individual + AD:Self-help,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Self-help with support,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Sham acupuncture,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Short-term psychodynamic psychotherapies individual,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:Short-term psychodynamic psychotherapies individual + AD,NA,NA,NA,NA,NA,NA,NA
Behavioural therapies individual + AD:SNRIs,NA,NA,NA,NA,NA,NA,NA
