study,treatment,mean,std.dev,sampleSize
Hewett 2010,trt_031,-1.2453614125916868,1,186
Hewett 2010,trt_038,-1.6038745465195967,1,193
Hieronymus 2016_PZ/109,trt_031,-1.150939055051681,1,103
Hieronymus 2016_PZ/109,trt_039,-1.2674898454366612,1,104
Higuchi 2009,trt_031,-1.300216291551025,1,145
Higuchi 2009,trt_038,-1.5665256524711142,1,74
Higuchi 2009,trt_039,-1.4725341133228473,1,148
Higuchi 2011,trt_031,-1.0884280067070657,1,171
Higuchi 2011,trt_039,-2.6478104393931505,1,241
Higuchi 2016,trt_031,-0.9548299693972206,1,182
Higuchi 2016,trt_038,-2.335140174956136,1,348
Hojatifar 2017,trt_025,-4.497740782623806,1,15
Hojatifar 2017,trt_028,-0.3666636507573755,1,15
Hollon 1992,trt_010,-1.2460609763853188,1,25
Hollon 1992,trt_011,-1.5229634155820562,1,25
Hollon 1992,trt_046,-1.1076097567869498,1,57
Hong 2003,trt_026,-2.7197404308825526,1,66
Hong 2003,trt_039,-2.7197404308825526,1,66
Hopko 2003,trt_007,-1.139385888276142,1,10
Hopko 2003,trt_014,-0.4913601643190863,1,15
Hoyberg 1996,trt_026,-1.6571035473135343,1,56
Hoyberg 1996,trt_046,-1.8737183900996173,1,59
Hunter 2011,trt_031,-1.209399925363154,1,11
Hunter 2011,trt_039,-1.353576073872882,1,12
Husain 2014,trt_008,-3.5869079519628695,1,33
Husain 2014,trt_039,-3.5869079519628695,1,33
Hwang 2004,trt_038,-2.3941281488357236,1,52
Hwang 2004,trt_039,-2.3941281488357236,1,53
Jacobson 1996,trt_006,-1.9456875378353438,1,56
Jacobson 1996,trt_010,-3.679468512144066,1,93
Jamison 1995,trt_040,-2.3129994962906864,1,33
Jamison 1995,trt_048,-0.1309244997900391,1,39
Janakiramaiah 2000,trt_046,-2.209568459101989,1,15
Janakiramaiah 2000,trt_049,-2.263460372738623,1,15
Jefferson 2000,trt_031,-0.7205018136439041,1,101
Jefferson 2000,trt_039,-2.6259611555120803,1,296
Jiahui 2006,trt_001,-1.7782715149080597,1,30
Jiahui 2006,trt_039,-1.7238962817228756,1,30
Judd 2001,trt_021,-2.1993030763339014,1,12
Judd 2001,trt_038,-1.8204315379738596,1,19
Kang 2009,trt_026,-1.3086592030034752,1,73
Kang 2009,trt_038,-1.18869877606149,1,53
Kanter 2015,trt_004,-0.9753918399880208,1,22
Kanter 2015,trt_006,-1.2268695859674106,1,21
Kasper 2005a,trt_031,-2.8025380925174685,1,180
Kasper 2005a,trt_039,-5.605076185034938,1,338
Kasper 2005b,trt_039,-3.0490746102252686,1,53
Kasper 2005b,trt_047,-2.9677659539525947,1,55
Kasper 2012,trt_031,-1.3164679221470128,1,71
Kasper 2012,trt_039,-1.8666336209547196,1,139
Katona 2012,trt_031,-1.0656673813273094,1,145
Katona 2012,trt_038,-1.6347130703855814,1,147
Katz 1990,trt_031,-0.4537105809875406,1,11
Katz 1990,trt_046,-1.5607643985971396,1,12
Katz 1993_Protocol 01,trt_031,-1.0309278350515463,1,104
Katz 1993_Protocol 01,trt_046,-1.765463917525773,1,93
Katz 1993_Protocol 03,trt_031,-1.1211340206185567,1,94
Katz 1993_Protocol 03,trt_046,-1.6623711340206186,1,95
Kay-Lambkin 2009,trt_010,-2.086492984876947,1,23
Kay-Lambkin 2009,trt_028,-0.945457040700985,1,21
Kay-Lambkin 2009,trt_040,-1.0952418594598696,1,23
Kay-Lambkin 2011/2017,trt_010,-1.1041421929710875,1,88
Kay-Lambkin 2011/2017,trt_013,-0.7701159833327754,1,89
Kay-Lambkin 2011/2017,trt_040,-1.1969272512039522,1,97
Keller 2006_Study 062,trt_031,-1.6546965867394943,1,154
Keller 2006_Study 062,trt_039,-2.0388225800897337,1,161
Kennedy 2007,trt_010,-1.561989700823074,1,12
Kennedy 2007,trt_038,-1.9137769464867052,1,12
Khan 1991,trt_031,-0.3232099067357867,1,26
Khan 1991,trt_038,-2.1978273658033496,1,67
Khan 1995,trt_026,-1.50916535580909,1,26
Khan 1995,trt_031,-0.7923118117997722,1,26
Khan 2007,trt_038,-2.1858200004996364,1,91
Khan 2007,trt_039,-2.1744945082690683,1,110
Kheirabadi 2020,trt_010,-1.579576224369087,1,16
Kheirabadi 2020,trt_039,-1.1748914065555192,1,12
Khoshnab 2017,trt_018,-0.2727945895753158,1,15
Khoshnab 2017,trt_019,-0.5801687750122915,1,15
Khoshnab 2017,trt_028,-0.19979322053403414,1,15
